Soil ID,Year,Depth (cm),Volume (cm3),Dry Roots (g),Bulk Density (g/cm3),%N,%C,C stock (g/cm2),C stock (kg/m2),Root Biomass  (g/cm2),Root Biomass (kg/m2)
D11,2017,0-15,254.7265641,1.91,0.605591945,0.524167831,7.064087956,0.641693215,6.416932147,0.112473546,1.124735463
D11,2017,15-30,254.7265641,0.07,1.259653667,0.057023147,0.518732321,0.098013461,0.980134605,0.004122067,0.041220671
D11,2017,30-45,254.7265641,0.08,1.24959651,0.182155598,2.519322479,0.346295023,3.462950234,0.003454685,0.034546848
D11,2019,0-15,254.7265641,15.58,1.008989665,0.112534033,1.407189861,0.212976004,2.12976004,0.917454373,9.174543725
D11,2019,15-30,254.7265641,0.7,1.077501462,0.079589462,0.806931431,0.13042047,1.304204695,0.041220671,0.412206714
D11,2019,30-45,186.7994803,0.16,1.245925457,0.154771026,1.977575337,0.369586718,3.695867183,0.012848001,0.128480015
D13,2017,0-15,254.7265641,4.61,0.80789726,0.613070181,7.758326257,0.940189579,9.401895786,0.271467565,2.714675647
D13,2017,15-30,254.7265641,0.2,0.821640736,0.177354853,2.554131476,0.31478677,3.147867698,0.011777335,0.117773347
D13,2017,30-45,254.7265641,0.14,1.112293458,0.114420069,1.410507295,0.235334706,2.353347055,0.008244134,0.082441343
D13,2019,0-15,135.8541675,4.34,0.777503525,0.550949287,7.759290598,0.482630063,4.826300631,0.255568163,2.555681628
D13,2019,15-30,169.8177094,0.6,1.552111269,0.173483125,2.404237196,0.373164365,3.731643646,0.035332004,0.353320041
D13,2019,30-45,169.8177094,0.39,1.469047981,0.08908836,1.072644985,0.157576695,1.57576695,0.022965803,0.229658027
D14,2019,0-15,254.7265641,5.04,1.123654221,0.342641801,4.836692817,0.815215545,8.152155449,0.296788834,2.967888342
D14,2019,15-30,254.7265641,0.67,1.227536461,0.171579597,2.353513006,0.433353454,4.333534542,0.039454071,0.394540712
D14,2019,30-45,161.3268239,0.63,1.313543564,0.127354693,1.515845127,0.189157218,1.891572181,0.037098604,0.370986043
Dixie 1,2019,0-15,254.7265641,3.02,0.926381961,0.279613008,3.615938014,0.502460962,5.024609619,0.177837754,1.778377539
Dixie 1,2019,15-30,186.7994803,0.68,1.237946661,0.16322418,2.232730413,0.304040128,3.040401276,0.040042938,0.40042938
Dixie 1,2019,30-45,169.8177094,0.13,1.118357107,0.159633477,2.059704782,0.230348548,2.30348548,0.007655268,0.076552676
Dixie 2,2019,0-15,254.7265641,0.77,1.477937677,0.076033131,0.671491857,0.148863467,1.488634673,0.045342739,0.453427386
Dixie 2,2019,15-30,254.7265641,0.07,1.456734891,0.063226823,0.587641855,0.128405759,1.28405759,0.004122067,0.041220671
Dixie 3,2019,0-15,254.7265641,0.6,1.526921504,0.083823718,0.880416606,0.201649057,2.016490573,0.035332004,0.353320041
Dixie 3,2019,15-30,254.7265641,0.1,1.436840247,0.108812557,1.115540858,0.2404281,2.404281003,0.005888667,0.058886673
Dixie 3,2019,30-45,254.7265641,0.19,1.744746408,0.060537971,0.43691525,0.114345947,1.143459471,0.011188468,0.11188468
Pristine Low,2019,0-15,203.7812513,3.66,0.736434056,0.46489801,6.011796997,0.531275046,5.312750456,0.215525225,2.155252249
Pristine Low,2019,15-30,118.8723966,1.23,1.198193303,0.253089292,3.078284005,0.25818655,2.581865495,0.072430608,0.724306084
Pristine Low 2,2019,15-30,203.7812513,0.88,0.843912698,0.21243568,2.5417374,0.257400536,2.57400536,0.051820273,0.518202726
