Soil ID,Depth,Volume (cm3),Dry Roots (g),Bulk Density (g/cm3),%N,%C,C stock (g/cm2),C stock (kg/m2),Root Biomass  (g/cm2),Root Biomass (kg/m2)
CV1,0-15,257.2738297,1.2,0.96897832,0.24111421,3.808377865,0.553535338,5.535353376,0.069964365,0.699643645
CV5,0-15,257.2738297,1.2,1.010429059,0.164333264,2.323124376,0.352102857,3.521028565,0.069964365,0.699643645
CV8,0-15,257.2738297,2.9,1.365781629,0.09087853,1.153028165,0.236217703,2.362177028,0.169080548,1.690805476
CV10,0-15,257.2738297,3.3,1.07375865,0.195168043,3.011058718,0.484972552,4.849725515,0.192402002,1.924020024
CV1,15-30,257.2738297,0.2,1.096481825,0.138040268,1.745985121,0.287166143,2.871661429,0.011660727,0.116607274
CV5,15-30,257.2738297,0,0.94592477,0.123770398,1.602553737,0.227384291,2.273842914,0,0
CV8,15-30,497.7314063,1.2,1.168377553,0.033676664,0.630898219,0.110569098,1.105690976,0.036164083,0.361640832
CV10,15-30,257.2738297,0.8,1.131501675,0.104919313,1.207277935,0.204905551,2.049055509,0.04664291,0.466429097
CV1,30-45,497.7314063,0.2,2.054616297,0.126240172,1.52018747,0.468510293,4.685102927,0.006027347,0.060273472
CV5,30-45,497.7314063,0.2,1.744275142,0.112016435,1.470478021,0.384737739,3.847377389,0.006027347,0.060273472
CV8,30-45,497.7314063,1.7,1.441271318,0.020830124,0.4314747,0.093280816,0.932808164,0.051232451,0.512324512
CV10,30-45,497.7314063,0.3,1.320552634,0.100223155,1.229235447,0.243490516,2.434905162,0.009041021,0.090410208
